gbifID	latlon	name	best	species
3759406864	isabela	-	isabela	Amblyrhynchus cristatus
896439692	santa cruz	santa cruz	santa cruz	Geospiza magnirostris
2900411864	isabela	isabela	isabela	Xylocopa darwini
872924743	santiago	santiago	santiago	Telenomus
3855268010	pinta	-	pinta	Passiflora suberosa
3570685833	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
2779976585	genovesa	genovesa	genovesa	Asio flammeus
3855271335	san cristobal	-	san cristobal	Scalesia divisa
1676010730	-	santa cruz	santa cruz	Desmodium procumbens
3550491804	santa cruz	santa cruz	santa cruz	Leucophaeus fuliginosus
1423530867	rabida	rabida	rabida	Chromis alta
2078140377	santa cruz	santa cruz	santa cruz	Ardea alba
1783857542	santa cruz	santa cruz	santa cruz	Pyrocephalus rubinus
215659379	baltra	santa cruz	baltra	Bulla
1703203546	seymour	santa cruz	seymour	Puffinus subalaris
3209049668	santa cruz	-	santa cruz	Pelecanus occidentalis
2209960151	genovesa	genovesa	genovesa	Mimus parvulus
2204411302	rabida	rabida	rabida	Pelecanus occidentalis
946059080	genovesa	genovesa	genovesa	Sula granti
3408193346	daphne	daphne	daphne	Holacanthus passer
3902008146	san cristobal	-	san cristobal	Leucophaeus fuliginosus
1843537873	espanola	espanola	espanola	Zemysina subquadrata
2726197161	santa cruz	santa cruz	santa cruz	Tringa incana
2778558609	santa fe	santa fe	santa fe	Geospiza fuliginosa
974134762	espanola	espanola	espanola	Phoebastria irrorata
2230199137	plaza	plaza	plaza	Leucophaeus fuliginosus
944380897	isabela	isabela	isabela	Leucophaeus fuliginosus
2083774109	espanola	espanola	espanola	Phoebastria irrorata
1756374249	floreana	floreana	floreana	Sula nebouxii
1287642189	fernandina	fernandina	fernandina	Gobioclinus dendriticus
2779932776	-	san cristobal	san cristobal	Sula nebouxii
3855268083	santa cruz	-	santa cruz	Alocasia macrorrhizos
3855276441	espanola	-	espanola	Passiflora foetida
1275054133	-	darwin	darwin	Castela galapageia
477982497	santa cruz	-	santa cruz	Latrodectus curacaviensis
1099349457	fernandina	fernandina	fernandina	Teratolobus occultus
3859607741	isabela	-	isabela	Conolophus subcristatus
2563547959	san cristobal	san cristobal	san cristobal	Stegastes arcifrons
4127015677	isabela	-	isabela	Jasminocereus thouarsii
2183568318	santa cruz	santa cruz	santa cruz	Setophaga petechia
2151105780	genovesa	genovesa	genovesa	Sula sula
2706872793	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
829429154	santa cruz	santa cruz	santa cruz	Leucophaeus fuliginosus
1399185408	san cristobal	-	san cristobal	Geospiza fuliginosa
2666226172	santa cruz	santa cruz	santa cruz	Setophaga petechia
2465335550	isabela	isabela	isabela	Thalassoma lucasanum
2232211694	santa cruz	baltra	santa cruz	Setophaga petechia
980052161	rabida	rabida	rabida	Sula nebouxii
894765004	san cristobal	san cristobal	san cristobal	Microlophus bivittatus
863368766	-	isabela	isabela	Spheniscus mendiculus
2728842096	isabela	isabela	isabela	Anas bahamensis
3524578638	santa cruz	santa cruz	santa cruz	Fregata magnificens
2868341885	santiago	-	santiago	Arctocephalus galapagoensis
2728220122	santa cruz	santa cruz	santa cruz	Setophaga petechia
3531108877	isabela	isabela	isabela	Fregata magnificens
1090245557	-	isabela	isabela	Tetramerium nervosum
4006594968	darwin	darwin	darwin	Sula sula
3688829960	isabela	isabela	isabela	Myiarchus magnirostris
977695357	isabela	isabela	isabela	Actitis macularius
2693965466	santa cruz	santa cruz	santa cruz	Butorides striata
1184456489	santa cruz	santa cruz	santa cruz	Anous stolidus
3855262138	floreana	-	floreana	Malvastrum tomentosum
2790027701	rabida	rabida	rabida	Mimus parvulus
825514889	seymour	seymour	seymour	Crotophaga ani
2866837389	santa fe	santa fe	santa fe	Microlophus albemarlensis
1202878341	seymour	seymour	seymour	Fregata minor
1766490227	espanola	espanola	espanola	Setophaga petechia
2073432920	genovesa	-	genovesa	Phalaropus lobatus
3855277223	santa cruz	santa cruz	santa cruz	Scalesia helleri
583482920	-	san cristobal	san cristobal	Geospiza fortis
1185906184	pinta	pinta	pinta	Camarhynchus pallidus
1194185531	isabela	isabela	isabela	Camarhynchus psittacula
3426414209	-	-	-	Hyporthodus septemfasciatus
3095874384	-	santa cruz	santa cruz	Stygnommatidae
3089705994	-	-	-	Arctocephalus galapagoensis
2005300220	fernandina	isabela	fernandina	Grapsus grapsus
3855274647	isabela	-	isabela	Heliotropium angiospermum
3013877632	santa cruz	santa cruz	santa cruz	Anas bahamensis
4067438432	san cristobal	-	san cristobal	Conocarpus erectus
1317188831	-	-	-	Mimus trifasciatus
583683355	-	isabela	isabela	Geospiza fortis
2762532927	santiago	santiago	santiago	Buteo galapagoensis
1748862714	genovesa	genovesa	genovesa	Sula granti
3455284645	santa cruz	santa cruz	santa cruz	Geospiza fortis
3855281782	espanola	-	espanola	Celosia argentea
1261675152	pinta	pinta	pinta	Cheilolejeunea jackii
3759121091	-	isabela	-	Chilomycterus reticulatus
2845150128	santa cruz	santa cruz	santa cruz	Anas bahamensis
3649687605	isabela	isabela	isabela	Spheniscus mendiculus
2183194239	floreana	floreana	floreana	Mustelirallus erythrops
2226296636	genovesa	genovesa	genovesa	Fregata minor
2866833907	plaza	plaza	plaza	Microlophus albemarlensis
4131596337	santa cruz	santa cruz	santa cruz	Metapelma
1928751307	-	floreana	floreana	Bryopteris filicina
2012965771	floreana	-	floreana	Zalophus wollebaeki
2242845207	santa cruz	santa cruz	santa cruz	Anas bahamensis
2715813286	espanola	espanola	espanola	Mimus macdonaldi
4070616329	santa cruz	santa cruz	santa cruz	Conura femorata
1317638146	-	santa cruz	santa cruz	Peyssonnelia clarionensis
583493138	-	floreana	floreana	Camarhynchus pauper
1198933785	genovesa	genovesa	genovesa	Phaethon aethereus
2128071886	santa cruz	santa cruz	santa cruz	Zenaida galapagoensis
2784080187	genovesa	genovesa	genovesa	Leucophaeus fuliginosus
2109098521	isabela	isabela	isabela	Geospiza fuliginosa
3582520413	espanola	espanola	espanola	Oceanites gracilis
2110117959	santa cruz	santa cruz	santa cruz	Setophaga petechia
2125519591	baltra	seymour	baltra	Geospiza fuliginosa
2283164510	santiago	santa cruz	santiago	Triaenodon obesus
2787047392	floreana	-	floreana	Arenaria interpres
3279602201	isabela	isabela	isabela	Geospiza fuliginosa
847771930	isabela	isabela	isabela	Sula nebouxii
979902233	isabela	isabela	isabela	Leucophaeus fuliginosus
4013327636	-	-	-	-
1321229499	-	floreana	floreana	Hypnaea
2710033043	espanola	espanola	espanola	Geospiza conirostris
3632321309	san cristobal	san cristobal	san cristobal	Phaethon aethereus
2235994697	-	espanola	espanola	-
1756147421	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
3618281369	santa cruz	santa cruz	santa cruz	Arenaria interpres
3297870525	wolf	wolf	wolf	Pterodroma phaeopygia
2673259763	santa cruz	-	santa cruz	Setophaga petechia
1206137730	santa cruz	-	santa cruz	Geospiza fortis
3654190499	seymour	-	seymour	Nyctanassa violacea
2772358815	-	genovesa	genovesa	Sula granti
2866835888	espanola	-	espanola	Microlophus delanonis
1913669508	baltra	santa cruz	baltra	Pelecanus occidentalis
1763223704	san cristobal	-	san cristobal	Anous stolidus
2765744716	genovesa	-	genovesa	Mimus parvulus
3855260128	san cristobal	-	san cristobal	Duranta erecta
543739595	isabela	isabela	isabela	Microlophus albemarlensis
1401410500	san cristobal	san cristobal	san cristobal	Setophaga petechia
